epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2365.88,0.84344,3.44805,1.17841,0.1572,0.44892,0.22393,0.1743,0.78213,3.41193,1.13517,0.00017454,0.00017454,0.00017454
2,4617.19,0.76357,2.53456,1.10509,0.27393,0.42018,0.35096,0.27609,0.88928,2.92735,1.2522,0.000332555,0.000332555,0.000332555
3,6830.37,0.75162,2.20009,1.08312,0.35669,0.56083,0.43303,0.34212,0.81883,2.44858,1.14092,0.000473211,0.000473211,0.000473211
4,9029.77,0.72567,1.88245,1.06733,0.51715,0.63342,0.59308,0.47772,0.75413,1.86834,1.10645,0.000447889,0.000447889,0.000447889
5,23520.4,0.68725,1.60652,1.04854,0.80508,0.63924,0.73435,0.61901,0.69123,1.44979,1.03462,0.000421852,0.000421852,0.000421852
6,25696.8,0.68221,1.43742,1.04186,0.72246,0.68873,0.77621,0.6562,0.67305,1.24523,1.0224,0.000395815,0.000395815,0.000395815
7,27805.5,0.65699,1.28757,1.02647,0.84815,0.77969,0.84817,0.7231,0.67202,1.01626,1.00892,0.000369778,0.000369778,0.000369778
8,29920.4,0.6459,1.18887,1.02156,0.874,0.76253,0.84477,0.71778,0.64671,0.92879,0.99543,0.000343741,0.000343741,0.000343741
9,32020.1,0.63492,1.08421,1.01248,0.86957,0.76757,0.85245,0.72096,0.65237,0.85305,1.0011,0.000317704,0.000317704,0.000317704
10,34125.8,0.63411,1.03678,1.00416,0.90575,0.80191,0.89157,0.75959,0.62939,0.76645,0.98505,0.000291667,0.000291667,0.000291667
11,36203.3,0.61634,0.81636,0.97282,0.90977,0.82404,0.90056,0.76545,0.61862,0.72096,0.97782,0.00026563,0.00026563,0.00026563
12,38283.1,0.60449,0.73408,0.97011,0.92804,0.83771,0.9168,0.7762,0.62454,0.65063,0.98601,0.000239593,0.000239593,0.000239593
13,48361,0.59287,0.67686,0.96804,0.91246,0.85155,0.91676,0.7847,0.60271,0.62521,0.96447,0.000213556,0.000213556,0.000213556
14,50454.2,0.57365,0.61643,0.9509,0.94469,0.84125,0.92645,0.78982,0.60121,0.57888,0.96146,0.000187519,0.000187519,0.000187519
15,52549,0.57223,0.5982,0.94379,0.95564,0.82351,0.91884,0.78814,0.5999,0.56885,0.95873,0.000161482,0.000161482,0.000161482
16,54642.5,0.55734,0.56876,0.93753,0.96901,0.84755,0.93519,0.80384,0.58799,0.51689,0.95032,0.000135445,0.000135445,0.000135445
17,56741.3,0.55213,0.53456,0.93487,0.93559,0.85404,0.94124,0.80648,0.5899,0.50781,0.94567,0.000109408,0.000109408,0.000109408
18,58824.7,0.53824,0.51125,0.92768,0.94989,0.86398,0.94286,0.80926,0.57992,0.48143,0.94914,8.3371e-05,8.3371e-05,8.3371e-05
19,60920,0.52803,0.49138,0.92203,0.94512,0.86966,0.94327,0.81438,0.57169,0.47263,0.94371,5.7334e-05,5.7334e-05,5.7334e-05
20,62977.2,0.52006,0.46807,0.9216,0.94206,0.87352,0.94607,0.81872,0.56248,0.45923,0.93758,3.1297e-05,3.1297e-05,3.1297e-05
